tradeDate,tradeCount,tradedSymbols,dailyReturn,winRate,averageWin,averageLoss,profitLossRatio,rollingMomentumTrades,tailMomentumTrades,nav,cumulativeReturn,drawdown
2026-06-16,757,459,-0.0006275707277152564,0.380449141347424,0.006313025205019825,-0.004889599786622891,1.2911128682333435,735,22,0.9993724292722848,-0.0006275707277152431,0
2026-06-17,788,480,-0.002153054392216299,0.3032994923857868,0.005403602567125667,-0.005442746583988111,0.9928080397904983,591,197,0.9972207260739803,-0.002779273926019732,-0.002153054392216247
2026-06-18,608,393,-0.002108447362957057,0.32730263157894735,0.004963648090130599,-0.005549393561403125,0.8944487420487754,567,41,0.9951181386638035,-0.004881861336196502,-0.004256962153317723
2026-06-22,1179,519,0.0005329914094214529,0.4961832061068702,0.00627470301668435,-0.005121724567428323,1.225115277886751,1074,105,0.9956485280830707,-0.004351471916929306,-0.0037262396681542187
2026-06-23,357,252,-0.0023112711017586078,0.29971988795518206,0.007254703376499013,-0.006405508178452852,1.1325726506606804,329,28,0.9933473144126038,-0.006652685587396179,-0.006028898419849549
2026-06-24,675,441,-0.0007894907103654135,0.37925925925925924,0.00689799568053129,-0.005486379770197235,1.2572946039940847,645,30,0.9925630759357086,-0.007436924064291417,-0.006813629370918894
2026-06-25,663,421,-0.00009225363600128938,0.40271493212669685,0.008336681273257993,-0.005775399143001817,1.44348140567215,617,46,0.9924715083829929,-0.007528491617007083,-0.006905254424836249
2026-06-26,535,350,-0.0034273200853736714,0.21869158878504674,0.007321730476721443,-0.0064360256254816384,1.1376167378409907,422,113,0.9890699908481507,-0.010930009151849274,-0.010308907993025196
2026-06-29,908,482,-0.0014231613326135355,0.3634361233480176,0.006867501332338556,-0.0061565846534338995,1.1154725743124696,858,50,0.9876623846819272,-0.012337615318072759,-0.011717398086401487
2026-06-30,774,468,-0.00004220000341494793,0.4043927648578811,0.006324515141439696,-0.00436493718419473,1.4489361185632919,658,116,0.9876207053259208,-0.012379294674079167,-0.011759103615577193
2026-07-01,917,485,0.0014987441669640383,0.5278080697928026,0.006928212567816498,-0.0045702228215176955,1.5159463418713035,885,32,0.989100896097201,-0.010899103902799023,-0.01027798333656571
2026-07-02,591,385,-0.0010199600456598091,0.3587140439932318,0.007201983084935011,-0.005619041691269533,1.2817102062305286,589,2,0.9880920527020555,-0.011907947297944532,-0.011287460249872372
2026-07-03,744,464,-0.0011909257961086822,0.3629032258064516,0.005687066486272913,-0.005108769501262712,1.1131969224423348,717,27,0.9869153083875626,-0.013084691612437416,-0.012464943518396887
2026-07-06,597,364,0.0000724654641870414,0.4221105527638191,0.005595944329127515,-0.003962075619769437,1.4123769625207598,571,26,0.9869868256634983,-0.013013174336501732,-0.012393381332127973
2026-07-07,497,357,-0.0034635996267810658,0.1710261569416499,0.005556436553494977,-0.005324529421255493,1.0435544841415867,291,206,0.9835682984624923,-0.016431701537507726,-0.01581405524795254
2026-07-08,576,373,-0.0013954962480869151,0.3645833333333333,0.005815674981735312,-0.005533053511099638,1.0510787524589664,559,17,0.9821957325922507,-0.01780426740774932,-0.017187483041273932
2026-07-09,1585,567,0.0013900271667269212,0.5211356466876972,0.005739587928079693,-0.003343486916115523,1.716647342154989,1312,273,0.9835610113435971,-0.01643898865640292,-0.015821346942902048
2026-07-10,620,443,-0.001182520158270674,0.3629032258064516,0.006936650041042949,-0.005807363942689782,1.1944576075302968,611,9,0.9823979306207942,-0.01760206937920583,-0.01698515803948175
2026-07-13,367,289,-0.006205714710286142,0.22343324250681199,0.0050768929337261055,-0.00945193866400196,0.5371271560470056,334,33,0.976301449331386,-0.023698550668614038,-0.023085467704665907
2026-07-14,928,518,-0.0002917923618507477,0.42887931034482757,0.0052681302386994285,-0.0044669795222638375,1.1793495386407262,839,89,0.9760165720256073,-0.02398342797439268,-0.023370523903370577
2026-07-15,660,443,-0.002538992675560374,0.2590909090909091,0.006393335064854493,-0.0056625674068710875,1.1290523547846292,548,112,0.9735384730980088,-0.026461526901991217,-0.02585017898991626
2026-07-16,483,342,-0.0015011438371722152,0.34368530020703936,0.004213798755105044,-0.0044938267088378975,0.9376860809558746,475,8,0.9720770518188676,-0.02792294818113239,-0.027312517990207952
