tradeDate,eligibleSymbols,averageUniverseAmount20,averageMarketCap,signaledSymbols,signalCount
2026-06-16,729,1241205932.2923574,52834313185.57365,284,370
2026-06-17,721,1236623623.4010696,53268530899.50369,278,359
2026-06-18,715,1228881273.5636685,53354729036.414536,222,265
2026-06-22,709,1223631238.1940713,52253955676.54758,384,642
2026-06-23,703,1237032561.1364276,54367169121.6242,134,160
2026-06-24,721,1223251172.6835556,51845402881.23095,265,344
2026-06-25,719,1206578437.314286,52208245150.76184,250,332
2026-06-26,713,1178613797.308124,51603179164.178635,183,231
2026-06-29,726,1237791247.327941,50975234009.61986,385,522
2026-06-30,720,1251094416.86645,51482644829.20806,275,344
2026-07-01,703,1243327959.5834122,51849098653.119446,334,508
2026-07-02,699,1267711048.862442,53032410804.05158,237,292
2026-07-03,726,1322804161.7339783,52744494389.20886,279,343
2026-07-06,742,1392137976.0450196,54325773584.90566,212,262
2026-07-07,740,1398192290.4009829,53799191891.89189,159,188
2026-07-08,750,1388727792.280401,52110460000,188,230
2026-07-09,744,1370543154.2441394,51631038978.49462,449,899
2026-07-10,743,1370436829.5622208,51363528936.742935,265,316
2026-07-13,749,1379510809.1530366,51021461949.265686,140,155
2026-07-14,759,1364883291.039276,49602980237.15415,292,410
2026-07-15,750,1352629499.827461,50724812000,212,262
2026-07-16,756,1344045653.9114685,50886870370.37037,185,220
